species	specieskey	year	month	countrycode	occurrences
Chroicocephalus ridibundus	6065824	2022	12	DE	1015
Streptopelia decaocto	2495696	2022	12	FR	521
Streptopelia decaocto	2495696	2017	3	FR	258
Coloeus monedula	6100954	2017	8	DE	63
Actitis hypoleucos	2481800	2023	5	FR	693
Fulica atra	2474377	2016	4	FR	326
Vanellus vanellus	2480242	2019	5	DE	379
Haematopus ostralegus	7788295	2020	5	DE	212
Dendrocopos major	2477968	2016	3	DE	196
Ardea alba	9752617	2017	3	FR	158
Recurvirostra avosetta	2480259	2019	5	FR	148
Calidris alpina	2481759	2023	5	DE	143
Carduelis carduelis	2494686	2018	6	FR	329
Anthus petrosus	2490275	2018	8	FR	13
Cygnus olor	2498343	2017	12	FR	208
Luscinia megarhynchos	7660710	2023	4	DE	765
Troglodytes troglodytes	5231438	2022	8	DE	512
Acrocephalus scirpaceus	2493118	2024	6	FR	439
Acrocephalus scirpaceus	2493118	2022	6	FR	321
Serinus serinus	2494200	2016	7	FR	238
Phylloscopus fuscatus	2493075	2018	10	DE	26
Columba livia	2495414	2018	4	FR	400
Linaria cannabina	8104397	2023	12	DE	186
Larus marinus	2481172	2022	1	FR	159
Emberiza cirlus	7626513	2021	10	DE	5
Certhia brachydactyla	7806848	2022	9	DE	513
Spinus spinus	6092830	2017	1	DE	67
Milvus migrans	5229167	2017	5	FR	373
Podiceps cristatus	2482054	2020	5	FR	324
Turdus viscivorus	2490774	2022	12	FR	305
Emberiza calandra	7634625	2021	2	FR	56
Haematopus ostralegus	7788295	2024	10	DE	607
Loxia curvirostra	9629160	2024	3	DE	143
Larus fuscus	2481174	2016	6	DE	12
Ardea alba	9752617	2020	3	FR	178
Pyrrhocorax graculus	2482553	2021	7	FR	91
Anas acuta	2498112	2017	5	DE	14
Corvus corax	2482492	2024	12	FR	211
Rallus aquaticus	2474831	2023	9	FR	280
Passer montanus	5231198	2017	2	DE	82
Gyps fulvus	2480389	2018	8	FR	101
Tadorna ferruginea	2498015	2023	8	FR	6
Lanius collurio	7745240	2019	6	FR	105
Ichthyaetus melanocephalus	8151548	2024	3	DE	35
Phoenicopterus roseus	4352332	2019	12	FR	50
Tadorna ferruginea	2498015	2022	1	DE	156
Burhinus oedicnemus	2482100	2017	9	FR	32
Anser anser	2498036	2021	6	FR	56
Anser serrirostris	7340170	2016	1	DE	33
Anser serrirostris	7340170	2018	1	DE	33
Certhia familiaris	2487603	2021	5	FR	45
Phylloscopus bonelli	2493070	2019	6	DE	10
Periparus ater	2487871	2018	9	DE	52
Charadrius morinellus	2480281	2020	9	DE	6
Falco columbarius	9813242	2021	2	FR	15
Dryobates minor	9015784	2021	7	FR	81
Riparia riparia	2489160	2019	5	FR	208
Emberiza calandra	7634625	2017	7	DE	34
Falco peregrinus	2481047	2020	9	FR	65
Pluvialis apricaria	2480332	2022	2	FR	103
Certhia brachydactyla	7806848	2016	4	DE	109
Periparus ater	2487871	2020	8	DE	81
Accipiter nisus	2480637	2020	1	DE	121
Aegolius funereus	5739298	2021	4	FR	19
Burhinus oedicnemus	2482100	2018	4	FR	58
Gavia arctica	2481959	2017	1	DE	9
Emberiza schoeniclus	2491557	2018	3	DE	153
Regulus regulus	2484596	2018	5	DE	73
Dendrocoptes medius	8773033	2023	4	FR	142
Spinus spinus	6092830	2018	7	DE	15
Lophophanes cristatus	2487883	2019	5	DE	56
Motacilla flava	9701857	2018	6	FR	53
Asio otus	2497306	2021	11	DE	37
Xenus cinereus	2481703	2019	9	DE	14
Tadorna tadorna	2498009	2017	10	FR	61
Saxicola rubetra	2492521	2018	8	DE	47
Saxicola rubetra	2492521	2018	4	FR	64
Poecile montanus	2487866	2016	4	FR	17
Larus canus	7982160	2018	1	DE	71
Rissa tridactyla	2481205	2024	12	FR	25
Thalasseus sandvicensis	2481240	2018	6	FR	14
Pyrrhocorax graculus	2482553	2019	3	FR	19
Pyrrhocorax graculus	2482553	2018	9	DE	7
Somateria mollissima	2498352	2019	9	FR	1
Saxicola rubicola	4408759	2019	4	DE	178
Ichthyaetus melanocephalus	8151548	2018	7	DE	6
Arenaria interpres	2481776	2017	11	FR	25
Thalasseus elegans	2481285	2020	6	FR	5
Lanius excubitor	9444556	2017	4	DE	7
Chlidonias niger	2481119	2016	9	DE	9
Milvus milvus	5229168	2019	1	DE	21
Porphyrio porphyrio	2474416	2021	4	FR	27
Puffinus yelkouan	5229377	2019	5	FR	17
